,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
8439,Bomberman Land,Wii,2007.0,Misc,Rising Star Games,Racjin,E
8440,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009.0,Action,Take-Two Interactive,,
8441,Midway Arcade Treasures,GC,2003.0,Misc,Midway Games,Midway,T
8442,Leisure Suit Larry: Magna Cum Laude,XB,2004.0,Adventure,Vivendi Games,High Voltage Software,M
8443,Mousetrap / Operation / Simon,GBA,2005.0,Misc,DSI Games,,
8444,Pac-Man World 3,DS,2005.0,Platform,Namco Bandai Games,"Blitz Games, Human Soft",E
8445,Shawn Johnson Gymnastics,Wii,2010.0,Sports,Zoo Games,Zoo Games,E
8446,NBA 09: The Inside,PS2,2008.0,Sports,Sony Computer Entertainment,SCEA San Diego Studios,E
8447,One Piece: Pirate Warriors 3,PSV,2015.0,Action,Namco Bandai Games,Omega Force,T
8448,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,,
8449,Resident Evil,SAT,1997.0,Action,Capcom,,
8450,TOEIC Test Training DS,DS,2007.0,Misc,IE Institute,,
8451,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,,
8452,ZhuZhu Puppies,DS,2011.0,Simulation,Activision,Activision,E
8453,Cubivore: Survival of the Fittest,GC,2002.0,Adventure,Nintendo,Nintendo,E
8454,7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,Sega,Sega,T
8455,FlatOut,XB,2004.0,Racing,Empire Interactive,Bugbear,T
8456,Chaotic: Shadow Warriors,PS3,2009.0,Action,Activision,FUN Labs,E10+
8457,Mr. Do!'s Castle,2600,1983.0,Action,Parker Bros.,,
8458,Death Trap,2600,1982.0,Action,Avalon Interactive,,
8459,Armor Ambush,2600,1981.0,Action,Mattel Interactive,,
8460,Parodius,SAT,1995.0,Shooter,Konami Digital Entertainment,,
8461,Easy Piano,DS,2009.0,Misc,Game Life,Game Life,E
8462,Blood Bowl,X360,2009.0,Sports,Focus Home Interactive,Cyanide,T
8463,Taz Wanted,PS2,2002.0,Platform,Atari,Blitz Games,E
8464,Far Cry: Primal,PC,2016.0,Action,Ubisoft,Ubisoft Montreal,M
8465,Sid Meier's Civilization IV,PC,2005.0,Strategy,Take-Two Interactive,Firaxis Games,E10+
8466,Zoo Keeper,DS,2004.0,Puzzle,Ignition Entertainment,"Buddiez, Inc.",E
8467,Phantasy Star Online 2,PSV,2013.0,Role-Playing,Sega,,
8468,Vehicular Combat League presents Motor Mayhem,PS2,2001.0,Racing,Atari,,
8469,Chuck E. Cheese's Party Games,Wii,2010.0,Misc,UFO Interactive,UFO Interactive,E
8470,Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,Bigbig Studios,T
8471,PoPoLoCrois: Hajimari no Bouken,PS2,2002.0,Role-Playing,Sony Computer Entertainment,,
8472,Star Wars: Super Bombad Racing,PS2,2001.0,Racing,LucasArts,Lucas Learning,E
8473,TransFormers Animated: The Game,DS,2008.0,Action,Activision,Artificial Mind and Movement,E
8474,Hamster Heroes,Wii,2008.0,Puzzle,Popcorn Arcade,,
8475,Hot Wheels Velocity X,GBA,2002.0,Racing,THQ,,
8476,Driver: San Francisco,Wii,2011.0,Racing,Ubisoft,Ubisoft Reflections,T
8477,Alien Resurrection,PS,2000.0,Shooter,Fox Interactive,Argonaut Games,M
8478,World Tour Soccer 2005,PS2,2004.0,Sports,Sony Computer Entertainment,SCEE London Studio,E
8479,Disney Friends,DS,2007.0,Simulation,Disney Interactive Studios,"Amaze Entertainment, Walt Disney Japan",E
8480,ESPN College Hoops,PS2,2003.0,Sports,Sega,Visual Concepts,E
8481,Dengeki Bunko Fighting Climax,PS3,2014.0,Fighting,Sega,"Sega, French-Bread",T
8482,F1 Championship Season 2000,PS2,2000.0,Racing,Electronic Arts,EA Sports,E
8483,Leisure Suit Larry: Box Office Bust,X360,2009.0,Adventure,Codemasters,Team 17,M
8484,Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009.0,Fighting,Konami Digital Entertainment,,
8485,Robotech: Battlecry,GC,2002.0,Shooter,TDK Mediactive,Vicious Cycle,T
8486,Zapper: One Wicked Cricket!,PS2,2002.0,Platform,Infogrames,,
8487,Bomberman Land,PS,2000.0,Misc,Hudson Soft,,
8488,Clash of the Titans,X360,2010.0,Action,Namco Bandai Games,Game Republic,T
8489,Pro Evolution Soccer 2014,PSP,2013.0,Action,Konami Digital Entertainment,Konami,E
8490,Paws & Claws: Pet Resort,GBA,2006.0,Simulation,THQ,,
8491,Kya: Dark Lineage,PS2,2003.0,Adventure,Atari,Eden Studios,T
8492,Mirror's Edge Catalyst,XOne,2016.0,Platform,Electronic Arts,EA DICE,T
8493,Curious George,GBA,2006.0,Action,Namco Bandai Games,Torus Games,E
8494,Stronghold 3,PC,2011.0,Strategy,,FireFly Studios,T
8495,Lethal Skies II,PS2,2003.0,Simulation,Sammy Corporation,"Asmik Ace Entertainment, Inc",T
8496,F1 2011,3DS,2011.0,Racing,Codemasters,Codemasters,E
8497,Kamaitachi no Yoru × 3,PS2,2006.0,Adventure,Sega,,
8498,Guilty Gear Judgment,PSP,2006.0,Fighting,Majesco Entertainment,Arc System Works,T
8499,Tom and Jerry: Infurnal Escape,GBA,2003.0,Action,Ubisoft,,
8500,NCAA Football 09 All-Play,Wii,2008.0,Sports,Electronic Arts,EA Canada,E
8501,Splatterhouse,PS3,,Action,Namco Bandai Games,"Namco Bandai Games America, Namco Bandai Games",M
8502,The Legend of Heroes VII: The Trail of Zero,PSP,2010.0,Role-Playing,Falcom Corporation,,
8503,Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,WinkySoft,E10+
8504,King's Field,PS,1995.0,Role-Playing,Sony Computer Entertainment,,
8505,Let's Ride: Sunshine Stables,GBA,2005.0,Sports,DTP Entertainment,,
8506,World Stadium 4,PS,2000.0,Sports,Namco Bandai Games,,
8507,Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006.0,Action,Disney Interactive Studios,WayForward,E
8508,Midway Arcade Treasures 2,GC,2004.0,Misc,Midway Games,Backbone Entertainment,M
8509,Hot Wheels World Race,GC,2003.0,Racing,THQ,Climax Group,E
8510,San Goku Shi Taisen DS,DS,2007.0,Strategy,Sega,,
8511,Monster Jam,Wii,2007.0,Racing,Activision,Activision,E
8512,Kawa no Nushi Tsuri,PS,1998.0,Sports,Victor Interactive,,
8513,Castlevania Judgment,Wii,2008.0,Fighting,Konami Digital Entertainment,Eighting,T
8514,Magic: The Gathering - Battlegrounds,XB,2003.0,Strategy,Atari,,
8515,N2O: Nitrous Oxide,PS,1998.0,Racing,Gremlin Interactive Ltd,,
8516,Dancing With The Stars,PS2,2007.0,Misc,Activision,Zoe Mode,E10+
8517,Apache: Air Assault,X360,2010.0,Simulation,Activision,Gaijin Entertainment,T
8518,Aliens: Infestation,DS,2011.0,Action,Sega,"Gearbox Software, WayForward",T
8519,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015.0,Simulation,Marvelous Entertainment,Marvelous Inc.,E10+
8520,Angry Birds Trilogy,PS3,2012.0,Action,Activision,"Rovio Mobile, Rovio Entertainment",E
8521,Otogirisou,SNES,1992.0,Adventure,ChunSoft,,
8522,SD Gundam G Generation 3D,3DS,2011.0,Role-Playing,Namco Bandai Games,,
8523,Crash Tag Team Racing,GC,2005.0,Racing,Vivendi Games,Radical Entertainment,E10+
8524,El Shaddai: Ascension of the Metatron,X360,2011.0,Action,Ignition Entertainment,Ignition Entertainment,T
8525,NPPL: Championship Paintball 2009,PS3,2008.0,Shooter,Activision Value,FUN Labs,E10+
8526,True Swing Golf,DS,2005.0,Sports,Nintendo,T&E Soft,E
8527,TimeSplitters: Future Perfect,XB,2005.0,Shooter,Electronic Arts,Free Radical Design,M
8528,Hannah Montana: Rock Out the Show,PSP,2009.0,Misc,Disney Interactive Studios,,
8529,Zoo Hospital,Wii,2008.0,Simulation,Majesco Entertainment,Torus Games,E
8530,Family Feud Decades,Wii,2010.0,Misc,Ubisoft,Ludia,E10+
8531,Midway Arcade Treasures 3,PS2,2005.0,Misc,Midway Games,Digital Eclipse,E
8532,Goosebumps HorrorLand,Wii,2008.0,Adventure,Scholastic Inc.,SScholastic Media,E10+
8533,Dr. Muto,PS2,2002.0,Platform,Midway Games,,
8534,Thrillville: Off the Rails,X360,2007.0,Strategy,LucasArts,Frontier Developments,E10+
8535,DS Rakubiki Jiten,DS,2005.0,Misc,Nintendo,,
8536,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005.0,Adventure,Activision,,
8537,Fatal Frame II: Crimson Butterfly,PS2,2003.0,Action,Ubisoft,Tecmo,M
8538,Murdered: Soul Suspect,XOne,2014.0,Action,Square Enix,Airtight Games,M
8539,Shadow Man: 2econd Coming,PS2,2002.0,Adventure,Acclaim Entertainment,Acclaim,M
8540,Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011.0,Strategy,Konami Digital Entertainment,,
8541,Dynasty Warriors 4,XB,2003.0,Action,Tecmo Koei,Omega Force,T
8542,Warriors Orochi 3,X360,2011.0,Action,Ubisoft Annecy,Omega Force,T
8543,Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003.0,Sports,Activision,Shaba Games,E
8544,The Incredibles: Rise of the Underminer,GC,2005.0,Action,THQ,Heavy Iron Studios,E10+
8545,Beowulf: The Game,PS3,2007.0,Action,Ubisoft,Ubisoft,M
8546,Dewy's Adventure,Wii,2007.0,Platform,Konami Digital Entertainment,Konami,E
8547,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997.0,Sports,Konami Digital Entertainment,,
8548,Alone in the Dark: The New Nightmare,PS,,Adventure,Infogrames,Darkworks,M
8549,The BIGS,PS3,2007.0,Sports,Take-Two Interactive,Blue Castle Games,E
8550,Fracture,PS3,2008.0,Shooter,LucasArts,Day 1 Studios,T
8551,Flushed Away,GC,2006.0,Platform,D3Publisher,Monkey Bar Games,E
8552,NBA Live 08,Wii,2007.0,Sports,Electronic Arts,EA Canada,E
8553,Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005.0,Role-Playing,Banpresto,,
8554,Hyperdimension Neptunia Victory,PS3,2012.0,Role-Playing,Compile Heart,"Idea Factory, Compile Heart",T
8555,Pro Yaky? Spirits 3,PS2,2006.0,Sports,Konami Digital Entertainment,,
8556,Silent Scope 3,PS2,2002.0,Shooter,Konami Digital Entertainment,KCET,M
8557,NASCAR Heat 2002,GBA,2002.0,Racing,Infogrames,Crawfish Interactive,E
8558,Marble Saga: Kororinpa,Wii,2009.0,Puzzle,Konami Digital Entertainment,Hudson Entertainment,E
8559,Namco Classic Fighter Collection,PS2,2008.0,Fighting,Namco Bandai Games,Namco Bandai Games America,T
8560,International Superstar Soccer Deluxe,SNES,1995.0,Sports,Konami Digital Entertainment,,
8561,Family Game Night 4: The Game Show,Wii,2011.0,Misc,Electronic Arts,Electronic Arts,E
8562,Intellivision Lives!,PS2,2003.0,Misc,Play It,,
8563,Robots,GC,2005.0,Action,Vivendi Games,Eurocom Entertainment Software,E
8564,WRC 2: FIA World Rally Championship,PS3,2011.0,Racing,Ubisoft,,
8565,The King of Fighters XII,PS3,2009.0,Fighting,Ignition Entertainment,SNK Playmore,T
8566,Tak: Mojo Mistake,DS,2008.0,Action,THQ,THQ,E
8567,Lego Star Wars: The Force Awakens,PS3,2016.0,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
8568,Dungeon Siege: Throne of Agony,PSP,2006.0,Role-Playing,Take-Two Interactive,SuperVillain Studios,T
8569,Rio,DS,2011.0,Misc,THQ,THQ,E
8570,SimEarth: The Living Planet,SNES,1991.0,Simulation,Imagineer,,
8571,Finding Nemo: Escape to the Big Blue,DS,2006.0,Action,THQ,Altron,E
8572,Sengoku Basara: Chronicle Heroes,PSP,2011.0,Action,Capcom,,
8573,Grease Dance,X360,2011.0,Misc,505 Games,505 Games,T
8574,Culdcept SAGA,X360,2006.0,Role-Playing,Namco Bandai Games,"Omiya Soft, Jamsworks",T
8575,The Wild Thornberrys: Chimp Chase,GBA,2001.0,Action,THQ,Helixe,E
8576,Power Stakes,PS,1997.0,Sports,Aques,,
8577,World Series of Poker: Tournament of Champions 2007 Edition,X360,2006.0,Misc,Activision,,
8578,Tom and Jerry in Fists of Furry,N64,2000.0,Fighting,Ubisoft,,
8579,Hydro Thunder,N64,2000.0,Racing,Midway Games,,
8580,Destruction Derby 64,N64,1999.0,Racing,THQ,,
8581,Space Invaders,N64,1999.0,Shooter,Activision,,
8582,Starcraft 64,N64,2000.0,Strategy,Nintendo,,
8583,Buck Bumble,N64,1998.0,Action,Ubisoft,,
8584,California Speed,N64,1999.0,Misc,Midway Games,,
8585,Wonder Project J2: Koruro no Mori no Josette,N64,1996.0,Simulation,Enix Corporation,,
8586,Asteroids Hyper 64,N64,1999.0,Shooter,Crave Entertainment,,
8587,The Powerpuff Girls: Chemical X-Traction,N64,2001.0,Action,BAM! Entertainment,,
8588,Fighters Destiny,N64,1998.0,Fighting,Ocean,,
8589,Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001.0,Sports,Konami Digital Entertainment,,
8590,The Crew,PC,2014.0,Racing,Ubisoft,"Ubisoft Reflections, Ivory Tower",T
8591,Ready 2 Rumble Revolution,Wii,2009.0,Sports,Atari,10tacle Studios,T
8592,Create,PS3,2010.0,Action,Electronic Arts,EA Bright Light,E
8593,Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006.0,Misc,TDK Core,,
8594,Macross Ace Frontier,PSP,2008.0,Simulation,Namco Bandai Games,,
8595,Black & Bruised,PS2,2003.0,Fighting,Vivendi Games,,
8596,Eragon,DS,2006.0,Action,Vivendi Games,Amaze Entertainment,T
8597,TimeShift,PS3,2007.0,Shooter,Vivendi Games,Saber Interactive,M
8598,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006.0,Role-Playing,Namco Bandai Games,,
8599,Rapala Pro Fishing,XB,2004.0,Sports,Zoo Digital Publishing,FUN Labs,E
8600,Spyro: Shadow Legacy,DS,2005.0,Action,Vivendi Games,Amaze Entertainment,E
8601,Just Dance: Disney Party,X360,2012.0,Misc,Ubisoft,"Disney Interactive Studios, Land Ho!",E
8602,The Sims 3: Seasons,PC,2012.0,Simulation,Electronic Arts,The Sims Studio,T
8603,Our House,DS,2009.0,Strategy,Majesco Entertainment,BudCat,E
8604,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action,Activision,Now Production,E10+
8605,Guilty Gear Xrd: Sign,PS4,2014.0,Fighting,Arc System Works,,
8606,Sid Meier's Pirates!,Wii,2010.0,Strategy,Take-Two Interactive,,
8607,Scarface: Money. Power. Respect.,PSP,2006.0,Strategy,Vivendi Games,Radical Entertainment,M
8608,Angry Birds Star Wars,XOne,2013.0,Strategy,Activision,Exient Entertainment,E
8609,Ghost in the Shell: Stand Alone Complex,PS2,2004.0,Adventure,Namco Bandai Games,,
8610,Blitz: The League,X360,2006.0,Sports,Midway Games,Midway,M
8611,Battle Soccer: Field no Hasha,SNES,1992.0,Sports,Banpresto,,
8612,Yakuza Kiwami,PS4,2016.0,Adventure,Sega,Ryu ga Gotoku Studios,
8613,NBA 2K12,PC,2011.0,Sports,Take-Two Interactive,Visual Concepts,E
8614,Take A Break's: Puzzle Master,DS,2009.0,Puzzle,Ubisoft,,
8615,Ener-G: Dance Squad,DS,2008.0,Sports,Ubisoft,Lexis Numerique,E
8616,Rudolph the Red-Nosed Reindeer,Wii,2010.0,Action,Crave Entertainment,High Voltage Software,E
8617,FlatOut 2,PS2,2006.0,Racing,Empire Interactive,Bugbear,T
8618,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006.0,Fighting,Atari,CyberConnect2,T
8619,Despicable Me: The Game,PSP,2010.0,Platform,D3Publisher,,
8620,FIFA Soccer 96,PS,1995.0,Sports,Electronic Arts,,
8621,NCAA Final Four 2001,PS,2000.0,Sports,Sony Computer Entertainment,989 Sports,E
8622,Heroes over Europe,PS3,2009.0,Simulation,Ubisoft,"Atari, Transmission Games, Atari SA",T
8623,J-League Jikkyou Winning Eleven 2000,PS,2000.0,Sports,Konami Digital Entertainment,,
8624,Eve: The Lost One,SAT,1998.0,Adventure,Imagineer,,
8625,TNA iMPACT!,Wii,2008.0,Fighting,Midway Games,,
8626,Konami Krazy Racers,GBA,2001.0,Racing,Konami Digital Entertainment,KCEK,E
8627,BioShock The Collection,XOne,2016.0,Shooter,Take-Two Interactive,2K Games,M
8628,Watchmen: The End is Nigh - The Complete Experience,PS3,2009.0,Action,Warner Bros. Interactive Entertainment,,
8629,Solitaire Overload Plus,DS,2010.0,Misc,Telegames,Telegames,E
8630,Saturday Night Slam Masters,SNES,1994.0,Fighting,Capcom,,
8631,F-Zero: GP Legend,GBA,2003.0,Racing,Nintendo,Suzak,E
8632,Racing Lagoon,PS,1999.0,Racing,Square,,
8633,Vegas Party,Wii,,Misc,Unknown,Storm City Games,T
8634,Mr. Driller 2,GBA,2001.0,Puzzle,Namco Bandai Games,Namco,E
8635,Klonoa,Wii,2008.0,Platform,Namco Bandai Games,Paon Corporation,E10+
8636,Bulletstorm,PC,2011.0,Shooter,Electronic Arts,"Epic Games, People Can Fly",M
8637,Putty Squad,PS4,2013.0,Platform,System 3,System 3,E10+
8638,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009.0,Sports,Sega,,
8639,Burger Island,DS,2008.0,Action,Destineer,eGames,E
8640,The Walking Dead: Season One,XOne,2014.0,Adventure,Telltale Games,,
8641,Field Commander,PSP,2006.0,Strategy,Sony Online Entertainment,"Sony Online Entertainment, Mind Control Software",T
8642,Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007.0,Misc,505 Games,,
8643,Around the World in 80 Days,DS,2010.0,Action,PlayV,,
8644,"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,2009.0,Sports,Aspyr,,
8645,Custom Robo Arena,DS,2006.0,Fighting,Nintendo,Noise Inc.,E10+
8646,Ar Nosurge: Ode to an Unborn Star,PS3,2014.0,Role-Playing,Tecmo Koei,Gust,T
8647,Power Rangers Double Pack,GBA,2005.0,Action,THQ,,
8648,Imagine: Ice Champions,DS,2007.0,Sports,Spike,Digital Kids,E
8649,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998.0,Misc,Syscom,,
8650,FIFA Soccer 97,PS,1996.0,Sports,Electronic Arts,,
8651,Transformer: Rise of the Dark Spark,X360,2014.0,Action,Activision,,
8652,Shaun White Skateboarding,X360,2010.0,Sports,Ubisoft,Ubisoft Montreal,T
8653,Dragon Ball: Origins 2,DS,2010.0,Action,Namco Bandai Games,Game Republic,T
8654,Psychic Force,PS,1996.0,Fighting,Acclaim Entertainment,,
8655,Trigger Man,PS2,2004.0,Shooter,Play It,Point of View,T
8656,StarBlade α,PS,1995.0,Shooter,Sony Computer Entertainment,,
8657,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,2008.0,Strategy,Namco Bandai Games,,
8658,Wildstar,PC,2014.0,Role-Playing,NCSoft,Carbine Studios,T
8659,Family Party: 30 Great Games Outdoor Fun,Wii,2009.0,Misc,D3Publisher,Tamsoft,E10+
8660,Tiger Woods PGA Tour 2004,GC,2003.0,Sports,Electronic Arts,EA Sports,E
8661,Rudolph the Red-Nosed Reindeer,DS,2010.0,Action,Crave Entertainment,Crave,E
8662,Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,2008.0,Action,Activision,,
8663,Culdcept,3DS,2012.0,Misc,Nintendo,,
8664,Amped 3,X360,2005.0,Sports,Take-Two Interactive,2K Sports,T
8665,MX 2002 Featuring Ricky Carmichael,GBA,2001.0,Racing,THQ,,
8666,Innocent Life: A Futuristic Harvest Moon,PSP,2006.0,Simulation,Rising Star Games,ArtePiazza,E
8667,Halo Triple Pack,XB,2005.0,Shooter,Microsoft Game Studios,,
8668,Street Racer,PS,1996.0,Racing,Ubisoft,,
8669,Bomberman Land Touch! 2,DS,2007.0,Puzzle,Rising Star Games,,
8670,NBA 2K3,GC,2002.0,Sports,Sega,Visual Concepts,E
8671,Harvest Moon: The Lost Valley,3DS,2014.0,Simulation,Natsume,,
8672,NHL 2005,XB,2004.0,Sports,Electronic Arts,EA Sports,E
8673,Arcana Heart,PS2,2007.0,Fighting,AQ Interactive,Examu,T
8674,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,2010.0,Sports,Konami Digital Entertainment,,
8675,Battlestar Galactica,PS2,2003.0,Shooter,Vivendi Games,Warthog,T
8676,Time Hollow,DS,2008.0,Adventure,Konami Digital Entertainment,Tenky,T
8677,Medieval Games,Wii,2009.0,Action,Vir2L Studios,N-Fusion Interactive Entertainment Corp.,E10+
8678,Kingdom Hearts: Birth by Sleep - Final Mix,PSP,2011.0,Role-Playing,Square Enix,,
8679,Tak and the Guardians of Gross,Wii,2008.0,Action,THQ,THQ,E10+
8680,Yu-Gi-Oh! 5D's: Duel Transer,Wii,2010.0,Strategy,Konami Digital Entertainment,,
8681,Jurassic Park: The Game,X360,,Action,Unknown,Telltale Games,T
8682,Toriko: Gourmet Monsters!,3DS,2012.0,Role-Playing,Namco Bandai Games,,
8683,Akiba's Trip: Undead & Undressed,PSV,2013.0,Action,Nippon Ichi Software,,
8684,The Incredible Hulk: The Pantheon Saga,PS,1996.0,Action,Eidos Interactive,,
8685,The Idolm@ster 2,PS3,2011.0,Misc,Namco Bandai Games,,
8686,Monster House,DS,2006.0,Adventure,THQ,Artificial Mind and Movement,E
8687,Dynasty Warriors 8: Xtreme Legends,PS3,2013.0,Action,Tecmo Koei,Omega Force,T
8688,Godzilla Unleashed,Wii,2007.0,Fighting,Atari,"Pipeworks Software, Inc.",E10+
8689,AC/DC LIVE: Rock Band Track Pack,PS2,2008.0,Misc,MTV Games,Harmonix Music Systems,T
8690,Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011.0,Action,Marvelous Interactive,,
8691,Ener-G Horse Riders,DS,2008.0,Sports,Ubisoft,Lexis Numerique,E
8692,He-Man: Power of Grayskull,GBA,2002.0,Action,TDK Mediactive,Taniko,E
8693,Sherlock Holmes vs. Jack the Ripper,X360,2009.0,Adventure,Focus Home Interactive,Frogwares,T
8694,Sniper: Ghost Warrior,PC,2010.0,Shooter,City Interactive,City Interactive,M
8695,Rondo of Swords (US sales),DS,2007.0,Role-Playing,Success,,
8696,Polaris SnoCross,PS,2000.0,Racing,Vatical Entertainment,Vicarious Visions,E
8697,Wing Commander III: Heart of the Tiger,PS,1996.0,Action,Electronic Arts,,
8698,Imagine: Music Fest,DS,2009.0,Simulation,Ubisoft,Ubisoft,E
8699,Mat Hoffman's Pro BMX 2,GBA,2002.0,Sports,Activision,HotGen,E
8700,Fist of the North Star: Ken's Rage,X360,2010.0,Action,Ubisoft Annecy,Koei,M
8701,Chaotic: Shadow Warriors,X360,2009.0,Action,Activision,FUN Labs,E10+
8702,Muppet RaceMania,PS,1999.0,Racing,Sony Computer Entertainment,,
8703,Namco Museum Vol.5,PS,1996.0,Misc,Sony Computer Entertainment,,
8704,Courier Crisis,PS,1997.0,Racing,BMG Interactive Entertainment,,
8705,Digimon Battle Spirit 2,GBA,2003.0,Fighting,Namco Bandai Games,Dimps Corporation,E
8706,Winning Post 3,PS,1998.0,Racing,Tecmo Koei,,
8707,Just Sing!,DS,2009.0,Misc,DTP Entertainment,,
8708,Driven,PS2,2001.0,Racing,BAM! Entertainment,Bam Entertainment,T
8709,James Noir's Hollywood Crimes,3DS,2011.0,Adventure,Ubisoft,Ubisoft,T
8710,"Warhammer 40,000: Fire Warrior",PS2,2003.0,Shooter,THQ,Kuju Entertainment,M
8711,All-Pro Football 2K8,PS3,2007.0,Sports,Take-Two Interactive,Visual Concepts,E10+
8712,Lufia: Curse of the Sinistrals,DS,2010.0,Role-Playing,Square Enix,Neverland,E10+
8713,MTV Music Generator 2,PS2,2001.0,Misc,Codemasters,Jester Interactive,T
8714,Mugen Souls,PS3,2012.0,Role-Playing,Nippon Ichi Software,"Compile Heart, GCREST",T
8715,Ultimate Spider-Man,DS,2005.0,Action,Activision,Vicarious Visions,E10+
8716,Major League Baseball 2K13,PS3,2013.0,Sports,Take-Two Interactive,,
8717,Saw II: Flesh & Blood,X360,2010.0,Action,Konami Digital Entertainment,,
8718,Burnout 2: Point of Impact,GC,2003.0,Racing,Acclaim Entertainment,Criterion Games,E
8719,Paris-Dakar Rally,PS2,2001.0,Racing,Acclaim Entertainment,Broadsword Interactive,E
8720,Bakugan Battle Brawlers: Defenders of the Core,PSP,2010.0,Action,Activision,Now Production,E10+
8721,MotionSports: Adrenaline,PS3,2011.0,Sports,Ubisoft,Ubisoft Vancouver,E
8722,Atelier Iris: Eternal Mana,PS2,2004.0,Role-Playing,Tecmo Koei,Gust,T
8723,Blinx 2: Masters of Time & Space,XB,2004.0,Platform,Microsoft Game Studios,,
8724,F.E.A.R. 3,PC,2011.0,Shooter,Warner Bros. Interactive Entertainment,Day 1 Studios,M
8725,Chessmaster: The Art of Learning,DS,2007.0,Misc,Ubisoft,Ubisoft,E
8726,My Baby 3 & Friends,DS,2010.0,Simulation,Majesco Entertainment,,
8727,Tak: The Great Juju Challenge,GC,2005.0,Platform,THQ,Avalanche Software,E
8728,Fantasia: Music Evolved,XOne,2014.0,Misc,Disney Interactive Studios,Harmonix Music Systems,E10+
8729,Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,2007.0,Role-Playing,Namco Bandai Games,,
8730,Knockout Kings 2003,GC,2002.0,Sports,Electronic Arts,EA Sports,T
8731,Bomberman,PSP,2006.0,Puzzle,Konami Digital Entertainment,Hudson,E
8732,NCAA Football 2004,GC,2003.0,Sports,Electronic Arts,EA Sports,E
8733,XGIII: Extreme G Racing,GC,2001.0,Racing,Acclaim Entertainment,Acclaim,E
8734,Digimon World 4,PS2,2005.0,Role-Playing,Atari,Bandai,E
8735,Stormrise,X360,2009.0,Strategy,Sega,Creative Assembly,M
8736,Scripps Spelling Bee,DS,2010.0,Simulation,THQ,THQ,E
8737,Major League Baseball 2K11,Wii,2011.0,Sports,Take-Two Interactive,Visual Concepts,E
8738,"Go, Diego, Go! Safari Rescue",DS,2007.0,Adventure,Take-Two Interactive,,
8739,Disney's Story Studio: Disney's Mulan,PS,1999.0,Misc,Sony Computer Entertainment,,
8740,Pressure Cooker,2600,1982.0,Action,Activision,,
8741,Home Run,2600,,Sports,Atari,,
8742,Klax,2600,1989.0,Puzzle,Atari,,
8743,Saturn Bomberman,SAT,1996.0,Puzzle,Sega,,
8744,The Godfather: Blackhand Edition,Wii,2007.0,Adventure,Electronic Arts,EA Redwood Shores,M
8745,Wolfenstein: The Old Blood,XOne,2015.0,Action,Bethesda Softworks,MachineGames,
8746,Jikkyou Powerful Pro Yakyuu Portable,PSP,2006.0,Sports,Konami Digital Entertainment,,
8747,Dragon's Lair Trilogy,Wii,2010.0,Adventure,Destineer,,
8748,Naruto: Powerful Shippuden,3DS,2012.0,Platform,Namco Bandai Games,Inti Creates,E10+
8749,American Chopper,XB,2004.0,Racing,Zoo Digital Publishing,Creat Studios,T
8750,The Adventures of Tintin: The Game,3DS,2011.0,Action,Ubisoft,Ubisoft Montpellier,E10+
8751,Dynasty Warriors 8,X360,2013.0,Action,Tecmo Koei,Omega Force,T
8752,Bust-A-Move Bash!,Wii,2007.0,Puzzle,505 Games,,
8753,Kingdom Under Fire: Heroes,XB,2005.0,Strategy,Deep Silver,Phantagram,M
8754,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005.0,Misc,,,
